scenario_id,plm_feature,ace_weight,plm_weight,eval_rows,positive_count,matched_decoy_count,top_1pct_count,top_5pct_count,top_10pct_count,best_positive_rank,median_positive_rank,mean_positive_rank,auroc_vs_matched_decoys,average_precision_vs_matched_decoys
esm2_8m,raw,0.0,1.0,4212,52,4160,0,6,13,47,1038.0,1253.5384615384614,0.7050388313609468,0.02463493265145339
esm2_8m,raw,0.05,0.95,4212,52,4160,0,7,13,45,989.0,1189.9615384615386,0.7203217455621301,0.026034662535337122
esm2_8m,raw,0.1,0.9,4212,52,4160,0,7,14,44,822.5,1137.75,0.7328725961538461,0.02757818759085175
esm2_8m,raw,0.15,0.85,4212,52,4160,0,7,14,44,701.0,1100.2692307692307,0.7418823964497041,0.029129441935175204
esm2_8m,raw,0.2,0.8,4212,52,4160,1,5,16,32,729.5,1072.4423076923076,0.7485715606508876,0.03092490216867201
esm2_8m,raw,0.25,0.75,4212,52,4160,1,8,16,17,738.5,1050.673076923077,0.753804548816568,0.032918570864382976
esm2_8m,raw,0.3,0.7,4212,52,4160,2,9,16,12,755.0,1034.0576923076924,0.7577986316568047,0.03478670018425279
esm2_8m,raw,0.35,0.65,4212,52,4160,2,7,15,7,758.5,1017.3269230769231,0.761820451183432,0.03754504121591847
esm2_8m,raw,0.4,0.6,4212,52,4160,3,7,14,7,760.0,999.0576923076923,0.7662120931952663,0.03886410248148846
esm2_8m,raw,0.45,0.55,4212,52,4160,4,7,16,6,760.5,981.3076923076923,0.7704789201183433,0.040313438262140004
esm2_8m,raw,0.5,0.5,4212,52,4160,4,7,16,7,749.0,962.8269230769231,0.7749214127218935,0.040555373605712305
esm2_8m,raw,0.55,0.45,4212,52,4160,4,7,16,7,743.5,948.6346153846154,0.778333025147929,0.041132480179657385
esm2_8m,raw,0.6,0.4,4212,52,4160,5,8,15,7,759.5,936.4423076923077,0.7812638683431952,0.04184490283560756
esm2_8m,raw,0.65,0.35,4212,52,4160,4,9,15,7,781.5,927.1923076923077,0.7834874260355029,0.04229896746572109
esm2_8m,raw,0.7,0.3,4212,52,4160,4,8,15,6,788.5,925.5961538461538,0.7838711168639053,0.04270096990270162
esm2_8m,raw,0.75,0.25,4212,52,4160,4,8,15,6,777.0,927.8269230769231,0.7833348742603551,0.042657022497439204
esm2_8m,raw,0.8,0.2,4212,52,4160,4,8,17,7,768.5,935.6346153846154,0.7814580251479291,0.041576238097232515
